iter	Passed	Remaining
1170	34914	24717
1171	34941	24685
1172	34968	24653
1173	34995	24622
1174	35021	24589
1175	35048	24558
1176	35074	24525
1177	35100	24493
1178	35127	24460
1179	35152	24427
1180	35180	24396
1181	35207	24365
1182	35234	24333
1183	35262	24302
1184	35289	24270
1185	35317	24239
1186	35343	24207
1187	35370	24175
1188	35399	24145
1189	35428	24115
1190	35456	24084
1191	35486	24054
1192	35513	24022
1193	35538	23990
1194	35564	23957
1195	35593	23927
1196	35619	23895
1197	35645	23862
1198	35672	23831
1199	35700	23800
1200	35728	23769
1201	35755	23738
1202	35783	23706
1203	35809	23674
1204	35838	23644
1205	35864	23612
1206	35894	23582
1207	35922	23551
1208	35950	23521
1209	35979	23490
1210	36006	23459
1211	36032	23426
1212	36058	23394
1213	36084	23362
1214	36110	23330
1215	36135	23298
1216	36160	23265
1217	36186	23233
1218	36213	23201
1219	36240	23170
1220	36267	23138
1221	36293	23106
1222	36320	23075
1223	36349	23044
1224	36377	23014
1225	36426	22996
1226	36489	22988
1227	36569	22989
1228	36623	22975
1229	36669	22955
1230	36712	22934
1231	36753	22911
1232	36811	22899
1233	36858	22879
1234	36899	22857
1235	36949	22839
1236	36995	22819
1237	37036	22796
1238	37150	22817
1239	37507	22988
1240	37734	23078
1241	37844	23096
1242	37885	23072
1243	37971	23075
1244	38013	23052
1245	38045	23022
1246	38075	22991
1247	38106	22961
1248	38138	22931
1249	38170	22902
1250	38201	22871
1251	38227	22838
1252	38254	22806
1253	38280	22772
1254	38308	22740
1255	38336	22708
1256	38362	22675
1257	38394	22646
1258	38422	22614
1259	38451	22582
1260	38483	22552
1261	38512	22521
1262	38539	22489
1263	38568	22457
1264	38594	22424
1265	38623	22393
1266	38652	22361
1267	38685	22332
1268	38726	22308
1269	38757	22278
1270	38787	22246
1271	38815	22215
1272	38844	22183
1273	38876	22153
1274	38904	22121
1275	38932	22090
1276	38960	22058
1277	38991	22027
1278	39019	21995
1279	39048	21964
1280	39080	21935
1281	39109	21903
1282	39142	21874
1283	39173	21844
1284	39204	21814
1285	39237	21785
1286	39269	21755
1287	39300	21725
1288	39332	21695
1289	39367	21667
1290	39402	21639
1291	39434	21609
1292	39466	21580
1293	39499	21550
1294	39529	21519
1295	39559	21489
1296	39588	21457
1297	39619	21427
1298	39647	21395
1299	39676	21364
1300	39708	21334
1301	39735	21302
1302	39764	21271
1303	39794	21240
1304	39824	21209
1305	39855	21179
1306	39886	21148
1307	39914	21117
1308	39944	21085
1309	39972	21054
1310	39999	21021
1311	40028	20990
1312	40058	20959
1313	40087	20928
1314	40115	20896
1315	40144	20865
1316	40171	20833
1317	40199	20801
1318	40229	20770
1319	40259	20739
1320	40291	20710
1321	40319	20678
1322	40348	20647
1323	40378	20616
1324	40407	20584
1325	40436	20553
1326	40467	20523
1327	40497	20492
1328	40525	20460
1329	40556	20430
1330	40585	20399
1331	40615	20368
1332	40642	20336
1333	40669	20304
1334	40697	20272
1335	40722	20239
1336	40751	20208
1337	40780	20177
1338	40808	20145
1339	40837	20113
1340	40870	20084
1341	40898	20053
1342	40926	20021
